date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:57:40	201273/201273	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Jun%202022%2011:05:30%20GMT	https://www.11-76.com/themes/dinex/02-DARK-MODE/index-01.html	D:/Learning/Web%20Development/Restaurant/www.11-76.com/themes/dinex/02-DARK-MODE/index-01.html	(from )
23:57:41	678/678	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Jun%202013%2017:12:10%20GMT	https://www.11-76.com/robots.txt		(from )
23:57:42	161821/161821	---M--	200	added ('OK')	text/css	date:Mon,%2006%20Jun%202022%2011:05:04%20GMT	https://www.11-76.com/themes/dinex/02-DARK-MODE/css/style.css	D:/Learning/Web%20Development/Restaurant/www.11-76.com/themes/dinex/02-DARK-MODE/css/style.css	(from https://www.11-76.com/themes/dinex/02-DARK-MODE/index-01.html)
23:57:43	323113/323113	---M--	200	added ('OK')	text/css	date:Mon,%2006%20Jun%202022%2010:17:43%20GMT	https://www.11-76.com/themes/dinex/02-DARK-MODE/css/plugins.css	D:/Learning/Web%20Development/Restaurant/www.11-76.com/themes/dinex/02-DARK-MODE/css/plugins.css	(from https://www.11-76.com/themes/dinex/02-DARK-MODE/index-01.html)
23:57:43	4178/4178	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Jun%202022%2010:18:20%20GMT	https://www.11-76.com/themes/dinex/02-DARK-MODE/img/logo-light.png	D:/Learning/Web%20Development/Restaurant/www.11-76.com/themes/dinex/02-DARK-MODE/img/logo-light.png	(from https://www.11-76.com/themes/dinex/02-DARK-MODE/index-01.html)
23:57:43	4178/4178	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Jun%202022%2010:18:18%20GMT	https://www.11-76.com/themes/dinex/02-DARK-MODE/img/logo-dark.png	D:/Learning/Web%20Development/Restaurant/www.11-76.com/themes/dinex/02-DARK-MODE/img/logo-dark.png	(from https://www.11-76.com/themes/dinex/02-DARK-MODE/index-01.html)
23:57:44	170916/170916	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Jun%202022%2010:18:31%20GMT	https://www.11-76.com/themes/dinex/02-DARK-MODE/img/about/2.jpg	D:/Learning/Web%20Development/Restaurant/www.11-76.com/themes/dinex/02-DARK-MODE/img/about/2.jpg	(from https://www.11-76.com/themes/dinex/02-DARK-MODE/index-01.html)
23:57:44	85591/85591	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Jun%202022%2010:18:35%20GMT	https://www.11-76.com/themes/dinex/02-DARK-MODE/img/about/team/1.jpg	D:/Learning/Web%20Development/Restaurant/www.11-76.com/themes/dinex/02-DARK-MODE/img/about/team/1.jpg	(from https://www.11-76.com/themes/dinex/02-DARK-MODE/index-01.html)
23:57:44	167524/167524	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Jun%202022%2010:18:26%20GMT	https://www.11-76.com/themes/dinex/02-DARK-MODE/img/about/1.jpg	D:/Learning/Web%20Development/Restaurant/www.11-76.com/themes/dinex/02-DARK-MODE/img/about/1.jpg	(from https://www.11-76.com/themes/dinex/02-DARK-MODE/index-01.html)
23:57:44	95959/95959	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Jun%202022%2010:18:38%20GMT	https://www.11-76.com/themes/dinex/02-DARK-MODE/img/about/team/2.jpg	D:/Learning/Web%20Development/Restaurant/www.11-76.com/themes/dinex/02-DARK-MODE/img/about/team/2.jpg	(from https://www.11-76.com/themes/dinex/02-DARK-MODE/index-01.html)
23:57:44	105672/105672	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Jun%202022%2010:18:41%20GMT	https://www.11-76.com/themes/dinex/02-DARK-MODE/img/about/team/3.jpg	D:/Learning/Web%20Development/Restaurant/www.11-76.com/themes/dinex/02-DARK-MODE/img/about/team/3.jpg	(from https://www.11-76.com/themes/dinex/02-DARK-MODE/index-01.html)
23:57:45	81240/81240	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Jun%202022%2010:18:44%20GMT	https://www.11-76.com/themes/dinex/02-DARK-MODE/img/about/team/4.jpg	D:/Learning/Web%20Development/Restaurant/www.11-76.com/themes/dinex/02-DARK-MODE/img/about/team/4.jpg	(from https://www.11-76.com/themes/dinex/02-DARK-MODE/index-01.html)
23:57:45	115414/115414	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Jun%202022%2010:18:47%20GMT	https://www.11-76.com/themes/dinex/02-DARK-MODE/img/about/team/5.jpg	D:/Learning/Web%20Development/Restaurant/www.11-76.com/themes/dinex/02-DARK-MODE/img/about/team/5.jpg	(from https://www.11-76.com/themes/dinex/02-DARK-MODE/index-01.html)
23:57:45	113534/113534	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Jun%202022%2010:22:03%20GMT	https://www.11-76.com/themes/dinex/02-DARK-MODE/img/menu/1.jpg	D:/Learning/Web%20Development/Restaurant/www.11-76.com/themes/dinex/02-DARK-MODE/img/menu/1.jpg	(from https://www.11-76.com/themes/dinex/02-DARK-MODE/index-01.html)
23:57:46	97963/97963	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20Jun%202022%2010:22:13%20GMT	https://www.11-76.com/themes/dinex/02-DARK-MODE/img/menu/2.jpg	D:/Learning/Web%20Development/Restaurant/www.11-76.com/themes/dinex/02-DARK-MODE/img/menu/2.jpg	(from https://www.11-76.com/themes/dinex/02-DARK-MODE/index-01.html)
